Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
IFSI CH DE CHATEAUBRIANT;D.E Infirmier;;47;0;9;8;12;1;0;0;30;27;40;3;0;47;3977
Lycée Carnot;CPGE - MP2I;;47;0;0;2;21;20;1;0;0;5;48;45;2;45;1373
Lycée Déodat de Séverac;BTS - Production - Maintenance des systèmes - option A Systèmes de production;;47;0;17;7;2;1;0;0;63;26;7;4;0;37;544
Lycée Sup'Javouhey BREST;BTS - Services - Communication;;47;0;14;15;12;0;0;0;34;37;29;0;0;52;646
Université de Bourgogne - site de Dijon;Licence - Langues étrangères appliquées - Parcours Anglais-Allemand;Anglais-Allemand;47;0;8;10;0;0;0;0;44;56;0;0;0;30;213
Lycée Lakanal;CPGE - MPSI;;47;0;0;0;12;28;5;0;0;0;27;62;11;45;2496
LGT Aristide Briand;CPGE - PCSI;;47;0;1;6;6;3;1;0;6;35;35;18;6;19;717
Lycée Fénelon;CPGE - BCPST;;47;0;0;1;16;25;2;0;0;2;36;57;5;47;2653
IFSI - CROIX ROUGE FRANCAISE - St Jean-de-Monts;D.E Infirmier;;47;0;4;12;4;0;0;0;20;60;20;0;0;47;3067
I.U.T. d'Evry Val d'Essonne;BUT - Qualité, logistique industrielle et organisation;;47;0;22;9;3;1;0;0;63;26;9;3;0;43;440
Lycée Déodat de Séverac;BTS - Production - Electrotechnique;;47;0;9;8;13;4;0;0;26;24;38;12;0;41;627
Lycée Paul Valery;CPGE - PCSI;;46;0;5;16;11;2;0;0;15;47;32;6;0;41;1778
Université de Franche-Comté - Site de Besançon;Licence - Parcours d'Accès Spécifique Santé (PASS);;46;0;8;11;8;10;4;0;20;27;20;24;10;43;2420
Lycée Polyvalent Chevrollier;BTS - Services - Comptabilité et gestion;;46;0;18;8;3;0;0;0;62;28;10;0;0;40;785
LPO LYCEE DES METIERS ALGOUD - LAFFEMAS;BTS - Services - Négociation et digitalisation de la Relation Client (Seconde année possible en apprentissage);;46;0;11;23;8;0;0;0;26;55;19;0;0;52;709
Université de Franche-Comté - Site de Besançon;Licence - Parcours d'Accès Spécifique Santé (PASS);;46;0;14;10;4;1;0;0;48;34;14;3;0;42;1852
IFSI CH Beaune;D.E Infirmier;;46;0;13;15;4;2;0;0;38;44;12;6;0;45;3507
AFERTES;D.E Educateur Spécialisé;;46;0;6;7;6;0;0;0;32;37;32;0;0;47;131
IFSI CGD13;D.E Infirmier;;46;0;8;7;2;0;0;0;47;41;12;0;0;46;8494
I.U.T. de Haguenau;BUT - Qualité, logistique industrielle et organisation;;46;0;20;13;8;2;0;0;47;30;19;5;0;49;243
I.U.T de Corte;BUT - Hygiène Sécurité Environnement (Seconde année possible en apprentissage);;46;0;11;9;1;1;0;0;50;41;5;5;0;34;310
Université Sorbonne Nouvelle Paris 3;Licence - Sciences du langage - Parcours Sciences du langage - Mineure Professorat des écoles;Sciences du langage - Mineure Professorat des écoles;46;0;12;8;11;0;0;0;39;26;35;0;0;44;388
IFSI CH de Tulle;D.E Infirmier;;46;0;10;11;7;1;0;0;34;38;24;3;0;45;2505
I.U.T. La Roche-sur-Yon;BUT - Réseaux et télécommunications (Seconde année possible en apprentissage);;46;0;9;16;16;1;0;0;21;38;38;2;0;47;610
Institut de Formation Association Educative pour l'Hospitalisation Privée;D.E Infirmier;;46;0;2;15;3;0;0;0;10;75;15;0;0;46;4416
Institut universitaire de technologie de Lille - Université de Lille;BUT - Génie biologique parcours sciences de l'aliment et biotechnologie;;46;0;3;9;6;1;0;0;16;47;32;5;0;30;1110
ECOLE TECHNIQUE PRIVEE PASTEUR;BTS - Services - Diététique;;46;0;3;0;0;0;0;0;100;0;0;0;0;18;266
Lycée du Parc;CPGE - B/L - Lettres et sciences sociales;;46;0;0;0;0;26;16;0;0;0;0;62;38;44;1993
Lycée Hôtelier International de Lille;BTS - Services - Management en hôtellerie restauration;;46;0;5;12;11;6;0;0;15;35;32;18;0;38;394
Lycée Des métiers Jean DROUANT;Mise à niveau - Hôtellerie restauration;;46;0;10;11;5;0;0;0;38;42;19;0;0;46;703
I.U.T de Saint-Malo;BUT - Génie industriel et maintenance;;46;0;12;7;4;0;0;0;52;30;17;0;0;26;443
Lycée Jacques Amyot;CPGE - B/L - Lettres et sciences sociales;;46;0;1;3;6;5;0;0;7;20;40;33;0;18;494
Institut Catholique de Lyon;Formation professionnelle - Chargé de mission qualité, sécurité, santé au travail et environnement (Bac + 3);;46;0;3;4;0;0;0;0;43;57;0;0;0;11;58
Université Lyon 2 - Campus Porte des Alpes;Licence - Science politique;Science politique ? Anglais LLCER;46;0;0;1;15;30;2;0;0;2;31;62;4;49;3089
I.U.T de Bourges;BUT - Génie mécanique et productique (Seconde année possible en apprentissage);;46;0;14;18;7;0;0;0;36;46;18;0;0;42;565
INST FORM REGIONAL EN SANTE;D.E Ergothérapeute;;46;0;6;8;5;1;0;0;30;40;25;5;0;46;564
IFSI Rouffach;D.E Infirmier;;45;0;4;16;13;1;0;0;12;47;38;3;0;45;2673
Université de Strasbourg;Cycle pluridisciplinaire d'Études Supérieures - Sciences et société;;45;0;0;3;7;7;1;0;0;16;37;37;5;29;221
Université Côte d'Azur;Cycle pluridisciplinaire d'Études Supérieures - Sciences et société;;45;0;1;1;5;7;1;0;7;7;33;47;7;19;229
Université de Pau et des Pays de l'Adour;Insertion à la Licence Scientifique (APILS);Insertion à la Licence Scientifique (APILS);45;1;6;7;5;0;0;5;32;37;26;0;0;44;147
Université Toulouse 3 Paul Sabatier;Licence - Double diplôme - Licence Chimie - DU Parcours Spéciaux;DU Parcours Spéciaux;45;0;0;2;8;1;0;0;0;18;73;9;0;14;409
Lycée Jean Mermoz;CPGE - PTSI;;45;0;1;9;22;3;0;0;3;26;63;9;0;38;742
Lycée/Pôle supérieur Saint BRIEUC;BTS - Services - Négociation et digitalisation de la Relation Client;;45;0;23;12;2;2;0;0;59;31;5;5;0;44;402
Université de Limoges;Licence - Portail Droit - Droit Limoges;Droit Limoges;45;0;12;6;3;1;0;0;55;27;14;5;0;37;420
Lycée Leon Blum;CPGE - Lettres;;45;0;3;11;10;6;2;0;9;34;31;19;6;38;460
LYCEE POLYVALENT GUSTAVE MONOD;CPGE - Lettres;;45;0;2;7;14;6;0;0;7;24;48;21;0;31;386
Universite Jean Monnet, Saint-Etienne;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Espagnol;Espagnol;45;0;12;9;6;0;0;0;44;33;22;0;0;34;282
Lycée Camille See;Diplôme de Comptabilité et de Gestion;;45;0;7;19;5;2;0;0;21;58;15;6;0;39;534
Lycée Sainte - Marie Lyon;BTS - Services - Commerce International;;45;0;10;13;10;2;0;0;29;37;29;6;0;41;838
ICAM Nantes;Formation d'ingénieur Bac + 5;;45;0;2;10;11;0;0;0;9;43;48;0;0;24;586
Université Paul Valery - Montpellier 3;Licence - Administration économique et sociale - Parcours International;International;45;0;5;7;16;3;0;0;16;23;52;10;0;46;920
ICAM Toulouse;Formation d'ingénieur Bac + 5;;45;0;4;17;25;3;0;0;8;35;51;6;0;54;803
Ecole Camondo Méditerranée - Toulon;Formation des écoles supérieure d'art Bac + 5 - Architecte d?intérieur ? designer;Architecte d?intérieur ? designer;45;0;6;4;7;3;0;0;29;19;33;14;0;36;285
Université d'Orléans - Centre Univ. de Châteauroux;Licence - Langues étrangères appliquées - Parcours Anglais/Espagnol;Anglais/Espagnol;45;0;17;7;7;0;0;0;55;23;23;0;0;36;318
Lycée Philippe de Girard;BTS - Services - Economie sociale familiale;;45;0;12;7;3;3;0;0;48;28;12;12;0;43;912
LPO Talensac - Jeanne Bernard;BTS - Production - Biotechnologies;;45;0;17;13;0;0;0;0;57;43;0;0;0;37;399
IFSI CH Sens;D.E Infirmier;;45;0;12;11;4;1;0;0;43;39;14;4;0;45;2851
Lycée Sainte - Marie Lyon;BTS - Services - Comptabilité et gestion;;45;0;8;15;4;0;0;0;30;56;15;0;0;32;437
NEOMA Business School - Campus de Paris;Formation des écoles de commerce et de management;;45;0;6;17;23;5;0;0;12;33;45;10;0;56;3377
Université d'Artois - Site d'Arras;Licence - Langues étrangères appliquées - Parcours  Anglais/Chinois - LEA;Anglais/Chinois - LEA;45;0;7;7;6;4;0;0;29;29;25;17;0;44;216
Université de Brest;Licence - Parcours d'Accès Spécifique Santé (PASS);;45;0;0;0;14;28;0;0;0;0;33;67;0;45;1838
Lycée Chaptal;CPGE - PTSI;;45;0;0;1;15;26;1;0;0;2;35;60;2;43;1550
ITS;D.E Educateur de Jeunes Enfants;;45;0;1;11;4;0;0;0;6;69;25;0;0;50;257
Facultés libres de l'ouest - UCO - Bretagne Nord;Licence - Economie et gestion - Parcours Administration Economique et Sociale;Administration Economique et Sociale;45;0;3;3;1;1;0;0;38;38;12;12;0;11;114
Institut du Travail Social Pierre Bourdieu de Pau;D.E Assistant de Service Social;;45;0;6;7;1;0;0;0;43;50;7;0;0;40;135
Université de Lorraine - Site de Metz;Licence - Théologie - Entièrement en distanciel;;45;0;2;3;1;0;0;0;33;50;17;0;0;44;206
Lycée Jules Guesde;CPGE - ECT - Option technologique;;45;0;3;13;15;6;0;0;8;35;41;16;0;39;484
Lycée Marcel Sembat;CPGE - TSI;;45;0;4;14;19;2;0;0;10;36;49;5;0;40;286
Université de Strasbourg;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Langues et interculturalité - Ensemble germanique;Langues et interculturalité - Ensemble germanique;45;0;2;5;4;2;0;0;15;38;31;15;0;20;156
Lycée Gustave Courbet;CPGE - ECG -  - Mathématiques appliquées + ESH;;45;0;2;6;2;0;0;0;20;60;20;0;0;16;238
3IS Institut International de l'Image et du Son;Formation des écoles supérieure d'art Bac + 3 - Cinéma Audiovisuel/Son - Option Cinéma Audiovisuel;Cinéma Audiovisuel/Son - Option Cinéma Audiovisuel - Parcours en anglais;45;0;4;7;10;1;1;0;17;29;42;4;4;29;351
Université Toulouse 3 Paul Sabatier;Licence - Double diplôme - Licence Physique - DU Parcours Spéciaux;DU Parcours Spéciaux;45;0;0;2;12;14;1;0;0;7;41;48;3;31;467
ESIEA Paris;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;Bacs généraux - 2 Sciences;45;0;2;5;10;3;0;0;10;25;50;15;0;20;1730
Lycée Polyvalent Gabriel Touchard - Washington;CPGE - PTSI;;45;0;1;8;9;3;0;0;5;38;43;14;0;24;383
Lycée Dhuoda;CPGE - PTSI;;45;0;4;4;5;2;0;0;27;27;33;13;0;18;406
Université Paul Valery - Montpellier 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Chinois;Chinois;45;0;3;4;2;1;0;0;30;40;20;10;0;27;160
INSTITUT CATHOLIQUE EUROPEEN DES AMERIQUES;Licence - Informatique - Parcours Sciences du numérique;Sciences du numérique;45;0;4;3;1;0;0;0;50;38;12;0;0;9;29
Université Paul Valery - Montpellier 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Portugais;Portugais;45;0;3;1;2;0;0;0;50;17;33;0;0;10;94
Université de Lille;Licence - Arts - Parcours Etudes en danse;Etudes en danse;45;0;8;7;10;4;0;0;28;24;34;14;0;40;359
Lycée Sainte Marie;CPGE - PCSI;;45;0;0;2;19;24;0;0;0;4;41;52;0;48;1099
Lycée Victor Hugo;CPGE - BCPST;;45;0;0;2;22;19;2;0;0;4;49;42;4;45;1105
Lycée Aristide Briand;Diplôme de Comptabilité et de Gestion;;45;0;8;15;7;2;0;0;25;47;22;6;0;36;420
Lycée Baimbridge;CPGE - BCPST;;45;0;3;9;14;4;1;0;10;29;45;13;3;35;342
Université Paul Valery - Montpellier 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Occitan;Occitan;45;0;5;2;0;0;0;0;71;29;0;0;0;16;136
Université de Poitiers;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Espagnol -  Accès Santé;Langues, littératures & civilisations étrangères et régionales - Espagnol;45;0;12;14;12;2;0;0;30;35;30;5;0;44;205
Université Grenoble Alpes - Antenne de Valence;Licence - Lettres - Parcours Lettres modernes;Lettres modernes;45;0;7;8;1;1;0;0;41;47;6;6;0;32;251
Lycée Frederic Ozanam;BTS - Services - Tourisme;;45;0;14;9;5;0;0;0;50;32;18;0;0;37;139
Université Clermont Auvergne - Antenne de Vichy - UFR STAPS;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Passerelle Kiné;Passerelle Kiné;45;0;5;23;12;5;0;0;11;51;27;11;0;45;1441
Lycée Edouard Branly;BTS - Production - Systèmes numériques - Option informatique et réseaux;;45;0;16;14;8;1;0;0;41;36;21;3;0;45;1223
Université Paris Nanterre;Licence - Information et communication;;45;0;0;4;21;3;0;0;0;14;75;11;0;44;3096
CERPE;D.E Educateur de Jeunes Enfants;;45;0;12;4;2;0;0;0;67;22;11;0;0;45;296
Université de Bordeaux - Bordeaux Métropole;Cycle pluridisciplinaire d'Études Supérieures - Sciences et société;;45;0;2;10;16;11;0;0;5;26;41;28;0;45;241
Lycée Ferdinand Buisson;CPGE - PTSI;;45;0;0;4;18;17;0;0;0;10;46;44;0;40;482
IFSI Chaumont;D.E Infirmier;;45;0;12;5;7;0;0;0;50;21;29;0;0;45;1911
Université Paul Valery - Montpellier 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Allemand;Allemand;45;0;1;0;0;0;0;0;100;0;0;0;0;6;50
Institut Agro - AGROCAMPUS OUEST Rennes;Formation d'ingénieur Bac + 5 - Agroalimentaire - 5 ans à Rennes;Agroalimentaire - 5 ans à Rennes;45;0;0;5;18;11;0;0;0;15;53;32;0;45;289
Lycée Lalande;CPGE - MPSI;;45;0;0;11;12;2;0;0;0;44;48;8;0;25;1547
Université Angers-Campus de Cholet;Double licence - Droit / Histoire - Double licence Droit et Histoire;Double licence Droit et Histoire;45;0;0;4;14;15;0;0;0;12;42;45;0;38;618
Lycée Bellevue;CPGE - PCSI;;45;0;0;10;10;4;0;0;0;42;42;17;0;24;174
Lycée Jules Guesde;CPGE - Lettres;;45;0;1;6;17;7;0;0;3;19;55;23;0;34;664
Institut Catholique de Toulouse;Licence - Droit - Parcours Science Politique;Science Politique;45;0;0;6;22;10;0;0;0;16;58;26;0;42;788
Campus La Salle St Christophe;BTS - Agricole - Gestion et protection de la nature;;45;0;15;10;4;0;0;0;52;34;14;0;0;39;318
Université Côte d'Azur;Licence - Langues étrangères appliquées - Parcours Anglais - Arabe;Anglais - Arabe;45;0;12;8;1;1;0;0;55;36;5;5;0;44;256
Lycée Raoul Follereau;CPGE - PCSI;;45;0;3;10;8;5;1;0;11;37;30;19;4;38;441
Lycée de L'Escaut;BTS - Production - Métiers de la chimie;;45;0;6;5;4;0;0;0;40;33;27;0;0;42;729
Lycée Joliot-Curie;CPGE - PTSI;;45;0;0;4;25;16;0;0;0;9;56;36;0;45;759
Lycée Victor Hugo;CPGE - MP2I;;45;0;0;4;23;10;0;0;0;11;62;27;0;39;935
Université Côte d'Azur;Double licence - Philosophie / Psychologie -  Double licence Philosophie - Psychologie;Double licence Philosophie - Psychologie;45;0;5;8;12;9;0;0;14;23;34;26;0;45;1073
Lycée Vaugelas;CPGE - PCSI;;45;0;1;4;19;4;0;0;4;14;68;14;0;31;795
ISEL Le Havre;Formation d'ingénieur Bac + 5 - Bac général;Bac général;45;0;1;2;8;1;0;0;8;17;67;8;0;13;3422
Collèges des études européennes et internationales;Diplôme de Comptabilité et de Gestion;;45;0;10;11;4;0;0;0;40;44;16;0;0;33;746
ITES BREST;D.E Educateur Spécialisé;;45;0;2;3;3;1;0;0;22;33;33;11;0;45;226
Lycée Bellevue;CPGE - MPSI;;45;0;1;11;12;9;2;0;3;31;34;26;6;40;248
Lycée Jean Perrin;CPGE - ENS Rennes D1;;45;0;0;2;23;19;0;0;0;5;52;43;0;45;1018
Facultés libres de l'ouest - UCO - Bretagne Nord;Licence - Langues étrangères appliquées - Parcours LEA Anglais- Allemand ou Anglais-Espagnol;LEA Anglais- Allemand ou Anglais-Espagnol;45;0;3;8;1;0;0;0;25;67;8;0;0;17;133
I.U.T de Roanne;BUT - Qualité, logistique industrielle et organisation (Seconde année possible en apprentissage);;45;0;17;6;0;2;0;0;68;24;0;8;0;37;327
Lycée Baimbridge;CPGE - PCSI;;45;0;2;3;14;6;2;0;7;11;52;22;7;28;269
ENSIM Le Mans;Formation d'ingénieur Bac + 5 - Bac général;Bac général;45;0;0;2;21;6;0;0;0;7;72;21;0;29;3953
Aix Marseille Université - Site d'Aix-en-Provence;Licence - Portail Philosophie, Anthropologie, Lettres;Philosophie - Anthropologie - Lettres;45;0;3;2;2;1;1;0;33;22;22;11;11;41;643
La Villa Arson - École nationale supérieure d-art de Nice;Diplôme National d'Art;;45;0;1;0;1;0;0;0;50;0;50;0;0;37;526
Lycée Docteur Lacroix;BTS - Services - Analyses de biologie médicale;;45;0;14;12;3;2;0;0;45;39;10;6;0;43;1623
Lycée Vaugelas;CPGE - MPSI;;45;0;0;3;13;8;1;0;0;12;52;32;4;27;1077
INALCO;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Asie du Sud-Est et Pacifique - Vietnamien;Asie du Sud-Est et Pacifique - Vietnamien;45;0;4;3;0;0;0;0;57;43;0;0;0;18;161
Université Sorbonne Paris Nord;Double licence - Informatique / Mathématiques - Double Licence Informatique/Mathématiques;Double Licence Informatique/Mathématiques;45;0;3;9;9;1;0;0;14;41;41;5;0;41;1941
Université de Brest;Licence - Parcours d'Accès Spécifique Santé (PASS);;45;0;2;9;24;2;2;0;5;23;62;5;5;45;1436
Lycée Albert de Mun;BTS - Production - Métiers de la mode-vêtements;;45;0;20;13;4;1;0;0;53;34;11;3;0;41;581
EGC Le Mans;Formation des écoles de commerce et de management Bac + 3;;45;0;14;5;1;0;0;0;70;25;5;0;0;25;80
KEDGE BUSINESS SCHOOL - Site d'Avignon;Formation des écoles de commerce et de management Bac + 3 - Bachelor Affaires internationales;KEDGE Bachelor;45;0;6;3;1;1;0;0;55;27;9;9;0;20;555
Lycée Campus de Coulommiers;BTS - Services - Support à l'action managériale;;45;0;7;3;1;0;0;0;64;27;9;0;0;21;418
Lycée Les Bruyères;CPGE - ECT - Option technologique;;45;0;9;13;9;2;0;0;27;39;27;6;0;36;239
Ecole d'Architecture de la Réunion - Antenne de l'ENSAM;Architecture;;45;0;1;13;12;4;1;0;3;42;39;13;3;45;346
Lycée Jeanne D'Arc;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;45;0;5;4;3;0;0;0;42;33;25;0;0;15;111
Lycée De L'Europe;BTS - Production - Systèmes numériques - Option informatique et réseaux;;45;0;22;11;5;0;0;0;58;29;13;0;0;49;1218
Lycée polyvalent de Cachan;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);;45;0;12;7;4;1;0;0;50;29;17;4;0;35;581
Institut Social de Lille - Institut Catholique de Lille;Licence - Sociologie - Parcours Sociologie option travail social;Sociologie option travail social;45;0;5;3;3;0;0;0;45;27;27;0;0;18;213
Lycée Professionnel Agricole d'Horticulture et du Paysage La Mouillère;BTS - Agricole - Aménagements paysagers;;45;0;4;1;0;0;0;0;80;20;0;0;0;8;139
I.U.T de Roanne;BUT - Réseaux et télécommunications;;45;0;13;7;4;1;0;0;52;28;16;4;0;37;602
Universite Jean Monnet, Saint-Etienne;Licence - Langues étrangères appliquées - Parcours Anglais - Portugais;Anglais - Portugais;45;0;8;5;1;0;0;0;57;36;7;0;0;25;126
Lycée Gustave Flaubert;Diplôme de Comptabilité et de Gestion;;45;0;8;10;16;2;0;0;22;28;44;6;0;43;650
Lycée Sainte Marie;CPGE - MPSI;;45;0;0;2;19;21;0;0;0;5;45;50;0;46;1264
Aix-Marseille Université - Site de Marseille Saint-Jérôme;Licence - Mathématiques, physique, chimie, informatique - Parcours Licence MPCI (site de Saint Jérôme);Licence MPCI (site de Saint Jérôme);45;0;0;0;17;24;4;0;0;0;38;53;9;45;802
Université Côte d'Azur;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Allemand;Allemand;45;0;1;0;0;0;0;0;100;0;0;0;0;6;29
Université Côte d'Azur;Licence - Langues étrangères appliquées - Parcours Anglais - Russe;Anglais - Russe;45;0;14;6;2;2;0;0;58;25;8;8;0;44;230
Lycée Etienne Mimard;CPGE - PTSI;;45;0;0;6;7;1;0;0;0;43;50;7;0;19;537
Lycée Baimbridge;CPGE - ECG -  - Mathématiques approfondies + HGG;;45;0;1;9;10;4;0;0;4;38;42;17;0;26;144
Facultés libres de l'ouest - UCO - Nantes;Licence - Portail Langues étrangères appliquées - Anglais - espagnol;Anglais - Espagnol;45;0;3;2;2;0;0;0;43;29;29;0;0;11;448
Lycée Jeanne D'Arc;BTS - Services - Diététique;;45;0;4;4;1;2;0;0;36;36;9;18;0;15;213
Aix Marseille Université - Site d'Aix-en-Provence (Jules Ferry);Licence - Portail Administration économique et sociale - Economie et Gestion - Gestion;Administration économique et sociale - Economie et Gestion - Gestion;45;0;19;8;6;1;0;0;56;24;18;3;0;45;783
I.U.T de Tremblay-en-France - Paris 8;BUT - Génie industriel et maintenance;;45;0;33;6;0;0;0;0;85;15;0;0;0;43;653
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Musicologie - Parcours Musicien Interprète;Musicien Interprète;45;0;0;0;1;0;0;0;0;0;100;0;0;3;69
Lycée Baimbridge;CPGE - MPSI;;45;0;0;3;20;9;4;0;0;8;56;25;11;38;369
Lycée Lalande;CPGE - PCSI;;45;0;1;9;4;3;0;0;6;53;24;18;0;19;841
ESA Angers (Angers-49);BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;;45;0;16;14;7;2;0;0;41;36;18;5;0;39;402
Université de Lorraine - Site de Nancy;Licence - Philosophie;;45;0;10;3;6;1;0;0;50;15;30;5;0;41;427
Facultés libres de l'ouest - UCO - Bretagne Nord;Licence - Sciences et technologies;;45;0;0;0;1;0;0;0;0;0;100;0;0;4;52
Institut National des Formations Notariales INFN site de Paris;BTS - Services - Collaborateur juriste notarial;;45;0;6;4;2;0;0;0;50;33;17;0;0;25;542
IFSI CH Vire;D.E Infirmier;;45;0;5;15;3;2;0;0;20;60;12;8;0;45;2479
Université Toulouse 2 Jean Jaurès;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Arabe (grands débutants);Arabe (grands débutants);45;0;1;7;1;0;0;0;11;78;11;0;0;45;213
Lycée Cesar Baggio;BTS - Services - Etudes de réalisation d'un projet de communication - 1ère année commune;;45;0;4;14;10;7;0;0;11;40;29;20;0;46;829
Sorbonne Université - Lettres, Arts, Langues, Sciences Humaines et Sociales;Licence - Portail Langues, littératures & civilisations étrangères et régionales - LLCER : ALLEMAND NON DEBUTANT;LLCER : ALLEMAND NON DEBUTANT;45;0;13;7;1;0;0;0;62;33;5;0;0;39;157
Aix Marseille Université - Site d'Aix-en-Provence;DEUST - Formation de base aux métiers du théâtre;;45;0;3;13;12;7;1;0;8;36;33;19;3;43;262
Université de Franche-Comté - Site de Besançon;Licence - Portail Psychologie;;45;0;8;15;11;4;0;0;21;39;29;11;0;43;1229
Lycée professionnel Notre-Dame du Sacré Coeur;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;45;0;6;3;1;2;0;0;50;25;8;17;0;21;211
Université Rennes 1 - Site de Saint-Brieuc;Licence - Parcours d'Accès Spécifique Santé (PASS);;45;0;2;14;20;7;0;0;5;33;47;16;0;43;518
Université Toulouse 3 Paul Sabatier;Licence - Double diplôme - Licence Mathématiques - DU Parcours Spéciaux;DU Parcours Spéciaux;45;0;1;1;16;8;0;0;4;4;62;31;0;31;527
Université des Antilles - Pôle Guadeloupe;Licence - Parcours d'Accès Spécifique Santé (PASS);;45;0;15;10;7;5;0;0;41;27;19;14;0;42;410
Institut Paul Bocuse;Formation des écoles supérieures de cuisine Bac +3 - Bachelor en Management International des Arts Culinaires;Bachelor Management International des Arts Culinaires, parcours en français;45;0;7;11;14;8;0;0;18;28;35;20;0;45;161
Lycée Notre Dame Saint Sigisbert;CPGE - B/L - Lettres et sciences sociales;;45;0;2;1;8;10;1;0;9;5;36;45;5;29;240
Université de Brest;Licence - Parcours d'Accès Spécifique Santé (PASS);;45;0;6;16;4;1;0;0;22;59;15;4;0;44;819
Facultés libres de l'Ouest - UCO ANGERS;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Anglais/Allemand - Anglais/Espagnol;Anglais/Allemand - Anglais/Espagnol;45;0;5;2;6;1;0;0;36;14;43;7;0;16;151
I.U.T de Marne la Vallée;BUT - Informatique;;45;0;4;13;14;6;0;0;11;35;38;16;0;45;2471
Lycée Voltaire;CPGE - PTSI;;45;0;5;7;13;1;0;0;19;27;50;4;0;32;1043
IUT de Moselle Est - Site de Sarreguemines - Université de Lorraine;BUT - Management de la Logistique et des Transports;;45;0;9;10;5;2;0;0;35;38;19;8;0;32;260
I.U.T. de Bayonne;BUT - Génie industriel et maintenance;;45;0;11;22;7;1;0;0;27;54;17;2;0;44;457
Lycée Victor Hugo;CPGE - MPSI;;45;0;0;1;8;32;3;0;0;2;18;73;7;44;803
Institut Saint Vincent De Paul;BTS - Services - Economie sociale familiale;;45;0;6;6;2;1;0;0;40;40;13;7;0;31;304
Lycée Jean-Baptiste Say;CPGE - PTSI;;45;0;0;0;12;27;5;0;0;0;27;61;11;44;1331
Lycée Raspail;CPGE - TSI;;45;0;0;6;19;2;0;0;0;22;70;7;0;27;568
Lycée des métiers des soins et des services à la personne La Morlette;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;45;0;9;15;7;2;0;0;27;45;21;6;0;38;571
Université d'Evry Val d'Essonne;Licence - Portail Mathématiques-Physique;Mathématiques-Physique;45;0;12;9;3;0;0;0;50;38;12;0;0;45;568
Université Gustave Eiffel;Licence - Langues étrangères appliquées - Parcours LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Allemand;LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Allemand;45;0;21;4;2;0;0;0;78;15;7;0;0;43;247
Lycée Emmanuel d'Alzon;CPGE - BCPST;;45;0;3;14;17;3;0;0;8;38;46;8;0;44;998
Université d'Orléans - Centre Univ. de Châteauroux;Licence - Histoire;;45;0;10;7;3;1;0;0;48;33;14;5;0;27;329
Université d'Amiens;Licence - Histoire de l'art et archéologie - Parcours Licence Histoire de l'Art et Archéologie Option Arts du Spectacle;Licence Histoire de l'Art et Archéologie Option Arts du Spectacle;45;0;8;7;4;0;0;0;42;37;21;0;0;41;431
IUT d'Amiens;BUT - Génie biologique Parcours agronomie;;45;0;8;12;3;1;0;0;33;50;12;4;0;37;838
IRTS HDF - Site Métropole Lilloise;D.E Educateur Spécialisé;;45;0;1;4;5;1;0;0;9;36;45;9;0;44;284
Unite de formation et de recherches Médecine et techniques médicales Nantes Université;Certificat de capacité d'Orthophoniste;;45;0;0;4;15;14;2;0;0;11;43;40;6;45;2258
